"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","478","displays two todo items by default","example to-do app","2026-08-20","passed","2026-08-20","","","",""
"","89","can throw any error","Assertions","2026-08-20","passed","2026-08-20","","Explicit Assertions","",""
"","98","Get and set configuration options","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.config()","",""
"","158","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-08-20","passed","2026-08-20","","","",""
"","159","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-08-20","passed","2026-08-20","","","",""
"","917","cy.go() - go back or forward in the browser's history","Navigation","2026-08-20","passed","2026-08-20","","","",""
"","78","cy.title() - get the title","Window","2026-08-20","passed","2026-08-20","","","",""
"","185","Cypress.$ - call a jQuery method","Utilities","2026-08-20","passed","2026-08-20","","","",""
"","86",".spread() - spread an array as individual args to callback function","Connectors","2026-08-20","passed","2026-08-20","","","",""
"","475","Cypress._ - call a lodash method","Utilities","2026-08-20","passed","2026-08-20","","","",""
"","162","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-08-20","passed","2026-08-20","","","",""
"","304","cy.visit() - visit a remote url","Navigation","2026-08-20","passed","2026-08-20","","","",""
"","297","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-08-20","passed","2026-08-20","","","",""
"","79","Get current spec information","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.spec","",""
"","120","cy.location() - get window.location","Location","2026-08-20","passed","2026-08-20","","","",""
"","87",".first() - get first DOM element","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","853","cy.screenshot() - take a screenshot","Misc","2026-08-20","passed","2026-08-20","","Cypress.Screenshot","",""
"","166","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-08-20","passed","2026-08-20","","","",""
"","78","cy.url() - get the current URL","Location","2026-08-20","passed","2026-08-20","","","",""
"","118","cy.contains() - query DOM elements with matching content","Querying","2026-08-20","passed","2026-08-20","","","",""
"","309","cy.getCookie() - get a browser cookie","Cookies","2026-08-20","passed","2026-08-20","","","",""
"","278","cy.wait() - wait for a specific route","Waiting","2026-08-20","passed","2026-08-20","","","",""
"","108",".debug() - enable or disable debugging","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.Cookies","",""
"","1580","retries the should callback until assertions pass","Assertions","2026-08-20","passed","2026-08-20","","Explicit Assertions","",""
"","79","Get underlying OS name","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.platform","",""
"","98","cy.document() - get the document object","Window","2026-08-20","passed","2026-08-20","","","",""
"","562","cy.getAllCookies() - get all browser cookies","Cookies","2026-08-20","passed","2026-08-20","","","",""
"","94",".filter() - get DOM elements that match the selector","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","575","cy.request() - make an XHR request","Network Requests","2026-08-20","passed","2026-08-20","","","",""
"","380","cy.request() - pass result to the second request","Network Requests","2026-08-20","passed","2026-08-20","","","",""
"","176","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-08-20","passed","2026-08-20","","","",""
"","158",".scrollIntoView() - scroll an element into view","Actions","2026-08-20","passed","2026-08-20","","","",""
"","802",".uncheck() - uncheck a checkbox element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","448","can add new todo items","example to-do app","2026-08-20","passed","2026-08-20","","","",""
"","84","yields the value yielded by the last Cypress command inside","Connectors","2026-08-20","passed","2026-08-20","",".then()","",""
"","160",".trigger() - trigger an event on a DOM element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","78",".prevAll() - get all previous sibling DOM elements","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","209",".dblclick() - double click on a DOM element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","635",".as() - alias a route for later use","Aliasing","2026-08-20","passed","2026-08-20","","","",""
"","82",".parents() - get parent DOM elements from DOM elements","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","2527","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-08-20","passed","2026-08-20","","","",""
"","508","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-08-20","passed","2026-08-20","","","",""
"","846",".select() - select an option in a <select> element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","185","cy.hash() - get the current URL hash","Location","2026-08-20","passed","2026-08-20","","","",""
"","369",".blur() - blur off a DOM element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","103",".its() - get properties on the current subject","Connectors","2026-08-20","passed","2026-08-20","","","",""
"","94","cy.readFile() - read file contents","Files","2026-08-20","passed","2026-08-20","","","",""
"","91","Get CPU architecture name of underlying OS","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.arch","",""
"","82",".parent() - get parent DOM element from DOM elements","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","85",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","89","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-08-20","passed","2026-08-20","","","",""
"","90","finds element by class name regex","Assertions","2026-08-20","passed","2026-08-20","","Explicit Assertions","",""
"","365","cy.request() - save response in the shared test context","Network Requests","2026-08-20","passed","2026-08-20","","","",""
"","248","can delete all completed tasks","example to-do app","2026-08-20","passed","2026-08-20","","with a checked task","",""
"","249","cy.writeFile() - write to a file","Files","2026-08-20","passed","2026-08-20","","","",""
"","24","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-08-20","passed","2026-08-20","","","",""
"","85",".last() - get last DOM element","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","92","cy.root() - query the root DOM element","Querying","2026-08-20","passed","2026-08-20","","","",""
"","104",".find() - get descendant DOM elements of the selector","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","90",".eq() - get a DOM element at a specific index","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","78","Get environment variables","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.env()","",""
"","3693",".type() - type into a DOM element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","2777","cy.viewport() - set the viewport size and dimension","Viewport","2026-08-20","passed","2026-08-20","","","",""
"","99",".and() - chain multiple assertions together","Assertions","2026-08-20","passed","2026-08-20","","Implicit Assertions","",""
"","84","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-08-20","passed","2026-08-20","","Cypress.Screenshot","",""
"","88",".next() - get next sibling DOM element","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","91","cy.wrap() - wrap an object","Misc","2026-08-20","passed","2026-08-20","","","",""
"","172","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-08-20","passed","2026-08-20","","","",""
"","96","invokes a callback function with the current subject","Connectors","2026-08-20","passed","2026-08-20","",".then()","",""
"","975","cy.exec() - execute a system command","Misc","2026-08-20","passed","2026-08-20","","","",""
"","235","cy.request() with query parameters","Network Requests","2026-08-20","passed","2026-08-20","","","",""
"","236","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-08-20","passed","2026-08-20","","","",""
"","320","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-08-20","passed","2026-08-20","","","",""
"","86",".nextAll() - get all next sibling DOM elements","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","199","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-08-20","passed","2026-08-20","","","",""
"","126",".focus() - focus on a DOM element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","97",".prev() - get previous sibling DOM element","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","87",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","325",".as() - alias a DOM element for later use","Aliasing","2026-08-20","passed","2026-08-20","","","",""
"","470",".clear() - clears an input or textarea element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","1924",".click() - click on a DOM element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","90","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-08-20","passed","2026-08-20","","","",""
"","92","cy.fixture() or require - load a fixture","Files","2026-08-20","passed","2026-08-20","","","",""
"","185",".rightclick() - right click on a DOM element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","362",".submit() - submit a form","Actions","2026-08-20","passed","2026-08-20","","","",""
"","314","cy.request() - verify response using BDD syntax","Network Requests","2026-08-20","passed","2026-08-20","","","",""
"","76","Get current version of Cypress being run","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.version","",""
"","203",".each() - iterate over an array of elements","Connectors","2026-08-20","passed","2026-08-20","","","",""
"","4419","cy.wait() - wait for a specific amount of time","Waiting","2026-08-20","passed","2026-08-20","","","",""
"","330","cy.fixture() - load a fixture","Files","2026-08-20","passed","2026-08-20","","","",""
"","187","can check off an item as completed","example to-do app","2026-08-20","passed","2026-08-20","","","",""
"","556","cy.intercept() - route responses to matching requests","Network Requests","2026-08-20","passed","2026-08-20","","","",""
"","594","best practices - selecting elements","Querying","2026-08-20","passed","2026-08-20","","","",""
"","250",".should() - make an assertion about the current subject","Assertions","2026-08-20","passed","2026-08-20","","Implicit Assertions","",""
"","83",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.dom","",""
"","1081","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-08-20","passed","2026-08-20","","","",""
"","80",".siblings() - get all sibling DOM elements","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","262","can filter for completed tasks","example to-do app","2026-08-20","passed","2026-08-20","","with a checked task","",""
"","75","assert - assert shape of an object","Assertions","2026-08-20","passed","2026-08-20","","Explicit Assertions","",""
"","361","cy.reload() - reload the page","Navigation","2026-08-20","passed","2026-08-20","","","",""
"","189",".add() - create a custom command","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.Commands","",""
"","100",".closest() - get closest ancestor DOM element","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","187","cy.clearCookie() - clear a browser cookie","Cookies","2026-08-20","passed","2026-08-20","","","",""
"","93",".within() - query DOM elements within a specific element","Querying","2026-08-20","passed","2026-08-20","","","",""
"","229","cy.get() - query DOM elements","Querying","2026-08-20","passed","2026-08-20","","","",""
"","84",".not() - remove DOM elements from set of DOM elements","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","75",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","788",".check() - check a checkbox or radio element","Actions","2026-08-20","passed","2026-08-20","","","",""
"","84","yields the original subject without return","Connectors","2026-08-20","passed","2026-08-20","",".then()","",""
"","90",".invoke() - invoke a function on the current subject","Connectors","2026-08-20","passed","2026-08-20","","","",""
"","112","cy.setCookie() - set a browser cookie","Cookies","2026-08-20","passed","2026-08-20","","","",""
"","2156","cy.scrollTo() - scroll the window or element to a position","Actions","2026-08-20","passed","2026-08-20","","","",""
"","71","Control what is printed to the Command Log","Cypress APIs","2026-08-20","passed","2026-08-20","","Cypress.log","",""
"","85","matches unknown text between two elements","Assertions","2026-08-20","passed","2026-08-20","","Explicit Assertions","",""
"","105","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-08-20","passed","2026-08-20","","","",""
"","22","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-08-20","passed","2026-08-20","","","",""
"","374","can filter for uncompleted tasks","example to-do app","2026-08-20","passed","2026-08-20","","with a checked task","",""
"","292",".children() - get child DOM elements","Traversal","2026-08-20","passed","2026-08-20","","","",""
"","104","expect - make an assertion about a specified subject","Assertions","2026-08-20","passed","2026-08-20","","Explicit Assertions","",""
"","93","pass your own callback function to should()","Assertions","2026-08-20","passed","2026-08-20","","Explicit Assertions","",""
"","193","cy.window() - get the global window object","Window","2026-08-20","passed","2026-08-20","","","",""
"","91","yields the returned value to the next command","Connectors","2026-08-20","passed","2026-08-20","",".then()","",""
"","264","cy.focused() - get the DOM element that has focus","Misc","2026-08-20","passed","2026-08-20","","","",""
